student1_id,student2_id,student1_wins,student2_wins,num_ties,student1_stack,student2_stackb10902003,b10902079,4,1,0,7608,2392
b10902042,b10902002,5,0,0,5445.0,4555.0
b11505050,b09902122,3,2,0,5840,4160
b10902072,b08705058,3,2,0,5998.076934814453,3998
b11902072,b06401151,3,2,0,5875.0,4125.0
b11902138,b11902043,4,1,0,8875,1125
b11705011,b10902015,1,4,0,4838.243697478992,5161
b10902127,b10902070,4,1,0,7969.0,2020.0
b10401008,b11902114,1,4,0,5850,4150
b10902086,b09705002,4,1,0,5246.0,4749.58215568
b10902121,b09203001,0,5,0,890,9110.0
b10902071,b10201026,3,2,0,5009.9,4987.9
b11902027,b10902125,2,3,0,4361.740122577907,5624.0
b09901142,b09303016,3,2,0,7990,2010
b10902017,b10902118,4,1,0,8366.0,1626.833333333333
b11902087,b10902101,0,5,0,3181.1000000000017,6817.5
b10902003,b10902079,4,1,0,7553,2447
b11902114,b11902072,4,1,0,7905,2095.0
b11505050,b10902125,2,3,0,4363.225949073294,5632.0
b10902003,b10902127,2,3,0,4879,5121
b10902015,b10902072,4,1,0,5242.844123840332,4731.144981384277
b09901142,b10902086,1,4,0,4130,5870
b09203001,b10902042,3,2,0,5906.0,4087.0
b10902101,b10902071,5,0,0,9622.0,369.0
b11902138,b10902017,3,2,0,6048,3952
b11902114,b10902015,2,3,0,2090,7910
b11902138,b10902086,2,3,0,4935,5065
b10902101,b10902127,2,3,0,3794.2166666666876,6190.0
b10902125,b09203001,3,2,0,6660.269677005325,3329.9641833654514
b10902015,b10902127,3,2,0,7660,2340
b10902086,b10902125,1,4,0,2446.0,7545.0
b10902015,b10902125,4,1,0,8048.031163718686,1946.0
b10902127,b10902086,2,3,0,4000,6000
